OBJECTID,CBSAFP10,GEOID10,NAME10,NAMELSAD10,LSAD10,MEMI10,MTFCC10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,GISJOIN,F1900_mean,F1910_mean,F1920_mean,F1930_mean,F1940_mean,F1950_mean,F1960_mean,F1970_mean,F1980_mean,F1990_mean,F2000_mean,F2010_mean,F2020_mean,Shape_Leng,Shape_Area,InPoly_FID,SimPgnFlag,MaxSimpTol,MinSimpTol
"529","36380","36380","Okeechobee, FL","Okeechobee, FL Micro Area",M2,"2",G3110,1991462636,318565354,"+27.3855924","-080.8873884",G36380,2.706506e-05,0.00010826026,0.00089314713,0.00192161957,0.00362671863,0.00473638627,0.00993287864,0.02151672621,0.03526577893,0.04904189672,0.06146476129,0.07478077298,0.09020785969,2.36151057469,0.21064520049,"546","0",0.00224830512,0.00224830512
"530","28580","28580","Key West, FL","Key West, FL Micro Area",M2,"2",G3110,2546689189,7133453992,"+25.6010428","-081.2067767",G28580,0.00042255505,0.00100943706,0.00140851683,0.00197192356,0.00375604488,0.00706605944,0.0157988638,0.02352223109,0.02993098268,0.0343678107,0.03579980281,0.03636320954,0.03868726231,27.9386616178,0.23646873874,"547","0",0.00224830512,0.00224830512
"531","11900","11900","Athens, OH","Athens, OH Micro Area",M2,"2",G3110,1304313482,12542538,"+39.3338481","-082.0460078",G11900,0.01224606038,0.01798936776,0.02235617999,0.02819441807,0.03483956712,0.04447503323,0.05914182647,0.08942471995,0.13166888172,0.17177710272,0.22118853237,0.24957281185,0.30131004367,1.85112755779,0.13718070864,"548","0",0.00224830512,0.00224830512
"532","35840","35840","North Port-Bradenton-Sarasota, FL","North Port-Bradenton-Sarasota, FL Metro Area",M1,"1",G3110,3363872943,826785936,"+27.3440056","-082.3611251",G35840,0.00139662271,0.00281138338,0.00712821722,0.02120327209,0.02735203961,0.04206192299,0.07987956396,0.10284221791,0.14722579943,0.19530952424,0.24914298152,0.31039486333,0.33865380081,6.98166312805,0.31390624803,"549","0",0.00224830512,0.00224830512
"533","36740","36740","Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL Metro Area",M1,"1",G3110,9009231940,1380306866,"+28.4343334","-081.3631242",G36740,0.00245454874,0.00538436549,0.01017314194,0.02043652465,0.02671728171,0.03870125495,0.06566519474,0.08665519606,0.12536246706,0.17998219249,0.22415805369,0.26856854087,0.28714008976,5.86545995524,0.95658903253,"550","0",0.00224830512,0.00224830512
"534","27260","27260","Jacksonville, FL","Jacksonville, FL Metro Area",M1,"1",G3110,8290752876,1288104361,"+30.2370060","-081.7552707",G27260,0.00255312491,0.00556140301,0.0104258527,0.01876795722,0.02829772708,0.04694478423,0.07300941598,0.09598754018,0.13636105027,0.18281512247,0.21921315393,0.25733223338,0.27647711433,9.49548983446,0.82309444859,"551","0",0.00224830512,0.00224830512
"535","33100","33100","Miami-Fort Lauderdale-Pompano Beach, FL","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",M1,"1",G3110,13150053279,2744844862,"+26.1018281","-080.4787552",G33100,1.780508e-05,0.00057421379,0.00458925909,0.01699049654,0.02478466983,0.03907769691,0.07204380049,0.09462064054,0.13540762503,0.17586521555,0.20505219114,0.22210500545,0.22791391244,10.7229625648,1.26693150232,"552","0",0.00224830512,0.00224830512
"536","49780","49780","Zanesville, OH","Zanesville, OH Micro Area",M2,"2",G3110,1721250930,20731394,"+39.9660457","-081.9435064",G49780,0.01657101865,0.0725251076,0.0762195122,0.08608321377,0.09698708752,0.10896700144,0.12697274032,0.15265423243,0.18984935438,0.21022238164,0.24716642755,0.27317073171,0.30233142037,1.87532681625,0.18386239797,"553","0",0.00224830512,0.00224830512
"537","15740","15740","Cambridge, OH","Cambridge, OH Micro Area",M2,"2",G3110,1352631007,15666026,"+40.0566648","-081.4978750",G15740,0.01986664231,0.02607782243,0.03091888929,0.03498355864,0.03932225064,0.04480270369,0.0568597004,0.07435147972,0.11152721958,0.13080014614,0.16290646694,0.18802521008,0.27356594812,1.74491022211,0.14445715662,"554","0",0.00224830512,0.00224830512
"538","37860","37860","Pensacola-Ferry Pass-Brent, FL","Pensacola-Ferry Pass-Brent, FL Metro Area",M1,"1",G3110,4320270311,985273023,"+30.6554013","-087.1618275",G37860,0.00271362669,0.00519873745,0.00844080723,0.01472499536,0.02813602411,0.04686004827,0.07902366568,0.11004470343,0.15264864247,0.19185340703,0.2249739349,0.2466115372,0.26750646272,7.91955746862,0.41188576864,"555","0",0.00224830512,0.00224830512
"539","32020","32020","Marion, OH","Marion, OH Micro Area",M2,"2",G3110,1045726869,908586,"+40.5882082","-083.1729272",G32020,0.0791830885,0.0882001672,0.09733667742,0.10492057805,0.11381822525,0.12564194435,0.15012540308,0.17669891317,0.20798996775,0.2177236355,0.24238624149,0.2613161352,0.26937776185,1.64099259817,0.11126898803,"556","0",0.00224830512,0.00224830512
"540","24820","24820","Greenville, OH","Greenville, OH Micro Area",M2,"2",G3110,1549072326,4291078,"+40.1321763","-084.6204381",G24820,0.12805761184,0.13710975217,0.14555841648,0.15018506598,0.15380592211,0.16104763437,0.1738010943,0.18953170261,0.2186594786,0.23000482781,0.25309784358,0.26798358545,0.31231895719,1.63095639996,0.16421550391,"557","0",0.00224830512,0.00224830512
"541","10420","10420","Akron, OH","Akron, OH Metro Area",M1,"1",G3110,2331323747,62134061,"+41.1466395","-081.3501104",G10420,0.09144319398,0.1292790558,0.1612658955,0.20518578479,0.23693761914,0.28756821683,0.37425908035,0.4224612894,0.47975037209,0.51638509544,0.57477086978,0.6072799436,0.62336475442,2.31158702238,0.25739525602,"558","0",0.00224830512,0.00224830512
"542","11740","11740","Ashland, OH","Ashland, OH Micro Area",M2,"2",G3110,1095434931,9969455,"+40.8432741","-082.2701212",G11740,0.03182768952,0.09972299169,0.10311493018,0.10639380406,0.11018146871,0.11866131494,0.13234213353,0.14692746905,0.17191474928,0.18587822941,0.2154446266,0.23268698061,0.24891175307,1.6192285614,0.11811605085,"559","0",0.00224830512,0.00224830512
"543","47540","47540","Wapakoneta, OH","Wapakoneta, OH Micro Area",M2,"2",G3110,1039585234,1345187,"+40.5613090","-084.2240177",G47540,0.06719509998,0.08256770552,0.09445745511,0.10286434877,0.10640725395,0.11343301507,0.12586320783,0.13889389299,0.16267339218,0.17786585,0.20050441362,0.21479613283,0.24187834024,1.80659660078,0.11079393871,"560","0",0.00224830512,0.00224830512
"544","34540","34540","Mount Vernon, OH","Mount Vernon, OH Micro Area",M2,"2",G3110,1361024108,10719185,"+40.4036198","-082.4223930",G34540,0.08214871514,0.09390377255,0.10392746492,0.11477127757,0.12142336432,0.13094587206,0.14693821761,0.16739566248,0.20958629488,0.2363313286,0.28654091489,0.31884454164,0.34322033898,1.76224077148,0.14548983101,"561","0",0.00224830512,0.00224830512
"545","22300","22300","Findlay, OH","Findlay, OH Micro Area",M2,"2",G3110,1376210257,5959835,"+41.0004711","-083.6660335",G22300,0.10462540128,0.10941809468,0.11597413754,0.11941040828,0.12234932405,0.12840801194,0.14170095402,0.15996744586,0.18754803997,0.20735181082,0.23683139666,0.25717773658,0.27435909029,1.61526927367,0.1480067428,"562","0",0.00224830512,0.00224830512
"546","24900","24900","Greenwood, MS","Greenwood, MS Micro Area",M2,"2",G3110,3161809018,52273954,"+33.4987992","-090.1091173",G24900,0.00128347238,0.00231413959,0.00443381366,0.00703965152,0.01096785485,0.01507107714,0.01952433736,0.02747797678,0.03496489898,0.04118779534,0.04931645373,0.05380860704,0.06228730335,3.32266573856,0.31152970614,"563","0",0.00224830512,0.00224830512
"547","32620","32620","McComb, MS","McComb, MS Micro Area",M2,"2",G3110,2950293889,8225967,"+31.1781300","-090.6555298",G32620,0.00128860535,0.0020068444,0.00365456927,0.00608390722,0.01064683764,0.02171616883,0.04208035827,0.06538087794,0.08758291436,0.10363766953,0.12203726393,0.13600067599,0.15995606067,2.36332403737,0.27996295178,"564","0",0.00224830512,0.00224830512
"548","46180","46180","Tupelo, MS","Tupelo, MS Micro Area",M2,"2",G3110,3834288288,36826800,"+34.2682708","-088.6829073",G46180,0.00227635976,0.0032127347,0.00523078413,0.01088132255,0.02366768376,0.03900485946,0.05684441646,0.08015692352,0.10889394747,0.13275536398,0.16244490725,0.17950953327,0.2642514651,3.03283155495,0.37890635877,"565","0",0.00224830512,0.00224830512
"549","15020","15020","Brookhaven, MS","Brookhaven, MS Micro Area",M2,"2",G3110,1518030804,5334341,"+31.5352155","-090.4535663",G15020,0.00496410256,0.00644102564,0.00914871795,0.01321025641,0.0224,0.04221538462,0.06285128205,0.08750769231,0.11807179487,0.14609230769,0.176,0.20057435897,0.22937435897,1.73894804955,0.14489771606,"566","0",0.00224830512,0.00224830512
"550","29860","29860","Laurel, MS","Laurel, MS Micro Area",M2,"2",G3110,3550971846,15906454,"+31.8254632","-089.1480536",G29860,0.00304888733,0.00439810759,0.00716663746,0.01352724724,0.02561766252,0.04182582793,0.05955843701,0.0761871386,0.09591729455,0.10990012266,0.12405817417,0.13520238304,0.1590853338,2.55887446185,0.33957713181,"567","0",0.00224830512,0.00224830512
"551","33740","33740","Monroe, LA","Monroe, LA Metro Area",M1,"1",G3110,3852334076,128876121,"+32.6904772","-092.2627929",G33740,0.00017266006,0.00050228382,0.00130279866,0.00361016497,0.00638842236,0.01254139917,0.0210017423,0.02917955077,0.04076347141,0.04668100268,0.05270840855,0.06233028301,0.12186661225,3.26124859525,0.38269392232,"568","0",0.00224830512,0.00224830512
